path,text
crying/wav_44k/FHER_11_1_0_29_0_0_0.wav,[S1] (crying)
crying/wav_44k/ODB7_11_2_0_28_0_0_0.wav,[S1] (crying)
crying/wav_44k/HOXM_11_9_1_19_0_0_0.wav,[S1] (crying)
crying/wav_44k/7IOA_11_10_1_33_0_0_0.wav,[S1] (crying)
crying/wav_44k/7IOA_11_9_1_33_0_0_0.wav,[S1] (crying)
crying/wav_44k/I64U_11_7_0_32_0_0_0.wav,[S1] (crying)
crying/wav_44k/NILB_11_5_0_19_0_0_0.wav,[S1] (crying)
crying/wav_44k/G5T1_11_6_0_30_0_0_0.wav,[S1] (crying)
crying/wav_44k/FVVF_11_9_1_40_0_0_0.wav,[S1] (crying)
crying/wav_44k/8M8F_11_2_1_50_0_0_0.wav,[S1] (crying)
crying/wav_44k/BYGU_11_4_0_28_0_0_0.wav,[S1] (crying)
crying/wav_44k/TKSZ_11_2_1_29_0_0_0.wav,[S1] (crying)
crying/wav_44k/MU5F_11_10_0_26_0_0_0.wav,[S1] (crying)
crying/wav_44k/KW7F_11_7_0_23_0_0_0.wav,[S1] (crying)
crying/wav_44k/OH83_11_2_0_32_0_0_0.wav,[S1] (crying)
crying/wav_44k/71OW_11_8_0_22_0_0_0.wav,[S1] (crying)
crying/wav_44k/80EY_11_10_0_48_0_0_0.wav,[S1] (crying)
crying/wav_44k/GZAE_11_7_0_28_0_0_0.wav,[S1] (crying)
crying/wav_44k/A8AF_11_5_0_20_0_0_0.wav,[S1] (crying)
crying/wav_44k/X4DU_11_5_0_47_0_0_0.wav,[S1] (crying)
crying/wav_44k/8QBK_11_10_1_55_0_0_0.wav,[S1] (crying)
crying/wav_44k/YDV9_11_6_0_45_0_0_0.wav,[S1] (crying)
crying/wav_44k/F3E6_11_8_0_50_0_0_0.wav,[S1] (crying)
crying/wav_44k/UVMU_11_7_0_24_1_0_0.wav,[S1] (crying)
